algo,ordem,n,media_ms,mediana_ms,desvio_ms,minimo_ms,maximo_ms,execucoes
quick,crescente,1000,,,,,,0
radixLSD,crescente,1000,,,,,,0
selection,crescente,1000,,,,,,0
shell,crescente,1000,,,,,,0
bubble,crescente,10000,,,,,,0
bucket+insertion,crescente,10000,,,,,,0
bucket+merge,crescente,10000,,,,,,0
counting,crescente,10000,,,,,,0
heap,crescente,10000,,,,,,0
insertion,crescente,10000,,,,,,0
merge,crescente,10000,,,,,,0
quick,crescente,10000,,,,,,0
radixLSD,crescente,10000,,,,,,0
selection,crescente,10000,,,,,,0
shell,crescente,10000,,,,,,0
bubble,crescente,100000,0.5077200000000001,0.4061,0.2403619622338129,0.3178,0.9806,10
bucket+insertion,crescente,100000,3.19709,3.0842,0.3256403621242988,2.8876,3.9067,10
bucket+merge,crescente,100000,19.29005,18.91545,1.7160571133010436,17.4822,23.4813,10
counting,crescente,100000,0.58707,0.60395,0.08721295838985804,0.4479,0.7284,10
heap,crescente,100000,30.70982,28.34975,5.2438530295109445,26.5916,41.7943,10
insertion,crescente,100000,0.9645900000000001,0.9682999999999999,0.1944512303895246,0.7499,1.3347,10
merge,crescente,100000,22.81071,22.349400000000003,1.7813311030737038,20.5109,26.3777,10
quick,crescente,100000,15.405349999999999,15.273299999999999,1.450681469938257,13.8621,18.1128,10
radixLSD,crescente,100000,6.49761,6.508,0.09122883864217494,6.3845,6.6007,10
selection,crescente,100000,32347.574660000002,32242.636550000003,224.97369524442473,32201.9969,32811.8492,10
shell,crescente,100000,10.63055,10.768149999999999,1.545390123525089,8.352,12.5712,10
bubble,crescente,1000000,,,,,,0
bucket+insertion,crescente,1000000,,,,,,0
bucket+merge,crescente,1000000,,,,,,0
counting,crescente,1000000,,,,,,0
heap,crescente,1000000,,,,,,0
insertion,crescente,1000000,,,,,,0
merge,crescente,1000000,,,,,,0
quick,crescente,1000000,,,,,,0
radixLSD,crescente,1000000,,,,,,0
selection,crescente,1000000,,,,,,0
shell,crescente,1000000,,,,,,0
bubble,decrescente,100,,,,,,0
bucket+insertion,decrescente,100,,,,,,0
bucket+merge,decrescente,100,,,,,,0
counting,decrescente,100,,,,,,0
heap,decrescente,100,,,,,,0
insertion,decrescente,100,,,,,,0
merge,decrescente,100,,,,,,0
quick,decrescente,100,,,,,,0
radixLSD,decrescente,100,,,,,,0
selection,decrescente,100,,,,,,0
shell,decrescente,100,,,,,,0
bubble,decrescente,1000,,,,,,0
bucket+insertion,decrescente,1000,,,,,,0
bucket+merge,decrescente,1000,,,,,,0
counting,decrescente,1000,,,,,,0
heap,decrescente,1000,,,,,,0
insertion,decrescente,1000,,,,,,0
merge,decrescente,1000,,,,,,0
quick,decrescente,1000,,,,,,0
radixLSD,decrescente,1000,,,,,,0
selection,decrescente,1000,,,,,,0
shell,decrescente,1000,,,,,,0
bubble,decrescente,10000,,,,,,0
bucket+insertion,decrescente,10000,,,,,,0
bucket+merge,decrescente,10000,,,,,,0
counting,decrescente,10000,,,,,,0
heap,decrescente,10000,,,,,,0
insertion,decrescente,10000,,,,,,0
merge,decrescente,10000,,,,,,0
quick,decrescente,10000,,,,,,0
radixLSD,decrescente,10000,,,,,,0
selection,decrescente,10000,,,,,,0
shell,decrescente,10000,,,,,,0
bubble,decrescente,100000,36992.99381,36798.906,1200.72474386004,35003.2807,38688.7188,10
