representacao,tipo,algoritmo,vertices,densidade,execucao,tempo_ns,memoria_bytes
LA,denso,Dijkstra,100,0.60,4,141300,3034288
MA,denso,Dijkstra,100,0.60,4,170800,2815600
LA,denso,Bellman-Ford,100,0.60,4,909500,3034288
MA,denso,Bellman-Ford,100,0.60,4,605000,2815600
LA,denso,Dijkstra,100,0.60,5,119200,3034288
MA,denso,Dijkstra,100,0.60,5,168900,2815600
LA,denso,Bellman-Ford,100,0.60,5,907200,3034288
MA,denso,Bellman-Ford,100,0.60,5,637500,2815600
LA,denso,Dijkstra,100,0.60,6,119600,3034288
MA,denso,Dijkstra,100,0.60,6,174400,2815600
LA,denso,Bellman-Ford,100,0.60,6,905300,3034288
MA,denso,Bellman-Ford,100,0.60,6,1068900,2815600
LA,denso,Dijkstra,100,0.60,7,293400,3034288
MA,denso,Dijkstra,100,0.60,7,269300,2815600
LA,denso,Bellman-Ford,100,0.60,7,920800,3034288
MA,denso,Bellman-Ford,100,0.60,7,621600,2815600
LA,denso,Dijkstra,100,0.60,8,131000,3034288
MA,denso,Dijkstra,100,0.60,8,177000,2815600
LA,denso,Bellman-Ford,100,0.60,8,909800,3034288
MA,denso,Bellman-Ford,100,0.60,8,599300,2815600
LA,denso,Dijkstra,100,0.60,9,120500,3034288
MA,denso,Dijkstra,100,0.60,9,170400,2815600
LA,denso,Bellman-Ford,100,0.60,9,939000,3034288
MA,denso,Bellman-Ford,100,0.60,9,644100,2815600
LA,denso,Dijkstra,100,0.60,10,160600,3034288
MA,denso,Dijkstra,100,0.60,10,228000,2815600
LA,denso,Bellman-Ford,100,0.60,10,953200,3034288
MA,denso,Bellman-Ford,100,0.60,10,644000,2815600
LA,denso,Dijkstra,100,0.80,1,179200,3613888
MA,denso,Dijkstra,100,0.80,1,207900,3239792
LA,denso,Bellman-Ford,100,0.80,1,1267700,3613888
MA,denso,Bellman-Ford,100,0.80,1,716300,3239792
LA,denso,Dijkstra,100,0.80,2,211400,3613888
MA,denso,Dijkstra,100,0.80,2,189500,3239792
LA,denso,Bellman-Ford,100,0.80,2,1643800,3613888
MA,denso,Bellman-Ford,100,0.80,2,828600,3239792
LA,denso,Dijkstra,100,0.80,3,263900,3613888
MA,denso,Dijkstra,100,0.80,3,209800,3239792
LA,denso,Bellman-Ford,100,0.80,3,3638800,3613888
MA,denso,Bellman-Ford,100,0.80,3,776400,3239792
LA,denso,Dijkstra,100,0.80,4,253900,3613888
MA,denso,Dijkstra,100,0.80,4,197000,3239792
LA,denso,Bellman-Ford,100,0.80,4,1225500,3613888
MA,denso,Bellman-Ford,100,0.80,4,734600,3239792
LA,denso,Dijkstra,100,0.80,5,183900,3613888
MA,denso,Dijkstra,100,0.80,5,182200,3239792
LA,denso,Bellman-Ford,100,0.80,5,1220900,3613888
MA,denso,Bellman-Ford,100,0.80,5,1147700,3239792
LA,denso,Dijkstra,100,0.80,6,299300,3613888
MA,denso,Dijkstra,100,0.80,6,219700,3239792
LA,denso,Bellman-Ford,100,0.80,6,1272500,3613888
MA,denso,Bellman-Ford,100,0.80,6,801200,3239792
LA,denso,Dijkstra,100,0.80,7,219000,3613888
MA,denso,Dijkstra,100,0.80,7,192800,3239792
LA,denso,Bellman-Ford,100,0.80,7,1384900,3613888
MA,denso,Bellman-Ford,100,0.80,7,1224300,3239792
LA,denso,Dijkstra,100,0.80,8,270700,3613888
MA,denso,Dijkstra,100,0.80,8,192000,3239792
LA,denso,Bellman-Ford,100,0.80,8,1221200,3613888
MA,denso,Bellman-Ford,100,0.80,8,743600,3239792
LA,denso,Dijkstra,100,0.80,9,218500,3613888
MA,denso,Dijkstra,100,0.80,9,163300,3239792
LA,denso,Bellman-Ford,100,0.80,9,1215400,3613888
MA,denso,Bellman-Ford,100,0.80,9,711800,3239792
LA,denso,Dijkstra,100,0.80,10,171800,3613888
MA,denso,Dijkstra,100,0.80,10,1060700,3239792
LA,denso,Bellman-Ford,100,0.80,10,1249900,3613888
MA,denso,Bellman-Ford,100,0.80,10,783900,3239792
