representacao,tipo,algoritmo,vertices,densidade,execucao,tempo_ns,memoria_bytes
MA,denso,Bellman-Ford,500,0.80,5,114601000,30411912
LA,denso,Dijkstra,500,0.80,6,2320700,38262368
MA,denso,Dijkstra,500,0.80,6,3209700,30411912
LA,denso,Bellman-Ford,500,0.80,6,292857400,38262368
MA,denso,Bellman-Ford,500,0.80,6,111007000,30411912
LA,denso,Dijkstra,500,0.80,7,2394000,38262368
MA,denso,Dijkstra,500,0.80,7,21732900,30411912
LA,denso,Bellman-Ford,500,0.80,7,288267800,38262368
MA,denso,Bellman-Ford,500,0.80,7,128222700,30411912
LA,denso,Dijkstra,500,0.80,8,2330600,38262368
MA,denso,Dijkstra,500,0.80,8,3542900,30411912
LA,denso,Bellman-Ford,500,0.80,8,326027600,38262368
MA,denso,Bellman-Ford,500,0.80,8,99579400,30411912
LA,denso,Dijkstra,500,0.80,9,2061600,38262368
MA,denso,Dijkstra,500,0.80,9,3619700,30411912
LA,denso,Bellman-Ford,500,0.80,9,285357800,38262368
MA,denso,Bellman-Ford,500,0.80,9,107838100,30411912
LA,denso,Dijkstra,500,0.80,10,2094900,38262368
MA,denso,Dijkstra,500,0.80,10,3292800,30411912
LA,denso,Bellman-Ford,500,0.80,10,291765000,38262368
MA,denso,Bellman-Ford,500,0.80,10,144608400,30411912
LA,denso,Dijkstra,500,1.00,1,1988000,24270272
MA,denso,Dijkstra,500,1.00,1,5007400,59654616
LA,denso,Bellman-Ford,500,1.00,1,439325400,24270272
MA,denso,Bellman-Ford,500,1.00,1,160034900,59654616
LA,denso,Dijkstra,500,1.00,2,2801100,24270272
MA,denso,Dijkstra,500,1.00,2,3663900,59654616
LA,denso,Bellman-Ford,500,1.00,2,393508800,24270272
MA,denso,Bellman-Ford,500,1.00,2,129192000,59654616
LA,denso,Dijkstra,500,1.00,3,2418400,24270272
MA,denso,Dijkstra,500,1.00,3,3424600,59654616
LA,denso,Bellman-Ford,500,1.00,3,431867200,24270272
MA,denso,Bellman-Ford,500,1.00,3,164061900,59654616
LA,denso,Dijkstra,500,1.00,4,2555200,24270272
MA,denso,Dijkstra,500,1.00,4,3647300,59654616
LA,denso,Bellman-Ford,500,1.00,4,460144900,24270272
MA,denso,Bellman-Ford,500,1.00,4,138433500,59654616
LA,denso,Dijkstra,500,1.00,5,2711600,24270272
MA,denso,Dijkstra,500,1.00,5,4069500,59654616
LA,denso,Bellman-Ford,500,1.00,5,403701000,24270272
MA,denso,Bellman-Ford,500,1.00,5,171639000,59654616
LA,denso,Dijkstra,500,1.00,6,2439400,24270272
MA,denso,Dijkstra,500,1.00,6,3497200,59654616
LA,denso,Bellman-Ford,500,1.00,6,531563600,24270272
MA,denso,Bellman-Ford,500,1.00,6,315015800,59654616
LA,denso,Dijkstra,500,1.00,7,4200300,24270272
MA,denso,Dijkstra,500,1.00,7,4151000,59654616
LA,denso,Bellman-Ford,500,1.00,7,546569600,24270272
MA,denso,Bellman-Ford,500,1.00,7,163113400,59654616
LA,denso,Dijkstra,500,1.00,8,4560800,24270272
MA,denso,Dijkstra,500,1.00,8,6000500,59654616
LA,denso,Bellman-Ford,500,1.00,8,633318600,24270272
MA,denso,Bellman-Ford,500,1.00,8,183702700,59654616
LA,denso,Dijkstra,500,1.00,9,4023200,24270272
MA,denso,Dijkstra,500,1.00,9,4363700,59654616
LA,denso,Bellman-Ford,500,1.00,9,474717700,24270272
MA,denso,Bellman-Ford,500,1.00,9,172486600,59654616
LA,denso,Dijkstra,500,1.00,10,2967300,24270272
MA,denso,Dijkstra,500,1.00,10,3800400,59654616
LA,denso,Bellman-Ford,500,1.00,10,385991400,24270272
MA,denso,Bellman-Ford,500,1.00,10,143636800,59654616
LA,esparso,Dijkstra,500,0.20,1,1402100,14678144
MA,esparso,Dijkstra,500,0.20,1,3738000,6182040
LA,esparso,Bellman-Ford,500,0.20,1,82925000,14678144
MA,esparso,Bellman-Ford,500,0.20,1,44431900,6182040
LA,esparso,Dijkstra,500,0.20,2,1378800,14678144
MA,esparso,Dijkstra,500,0.20,2,1844400,6182040
LA,esparso,Bellman-Ford,500,0.20,2,60246000,14678144
MA,esparso,Bellman-Ford,500,0.20,2,42319500,6182040
LA,esparso,Dijkstra,500,0.20,3,903100,14678144
MA,esparso,Dijkstra,500,0.20,3,1776200,6182040
LA,esparso,Bellman-Ford,500,0.20,3,57814400,14678144
MA,esparso,Bellman-Ford,500,0.20,3,35440200,6182040
LA,esparso,Dijkstra,500,0.20,4,828200,14678144
MA,esparso,Dijkstra,500,0.20,4,1743500,6182040
LA,esparso,Bellman-Ford,500,0.20,4,66768300,14678144
MA,esparso,Bellman-Ford,500,0.20,4,56623000,6182040
LA,esparso,Dijkstra,500,0.20,5,1731700,14678144
MA,esparso,Dijkstra,500,0.20,5,2206600,6182040
LA,esparso,Bellman-Ford,500,0.20,5,76267100,14678144
MA,esparso,Bellman-Ford,500,0.20,5,45537400,6182040
LA,esparso,Dijkstra,500,0.20,6,1321600,14678144
MA,esparso,Dijkstra,500,0.20,6,1765500,6182040
LA,esparso,Bellman-Ford,500,0.20,6,61180400,14678144
MA,esparso,Bellman-Ford,500,0.20,6,40614500,6182040
LA,esparso,Dijkstra,500,0.20,7,1417600,14678144
MA,esparso,Dijkstra,500,0.20,7,2326500,6182040
LA,esparso,Bellman-Ford,500,0.20,7,54055100,14678144
MA,esparso,Bellman-Ford,500,0.20,7,37912800,6182040
LA,esparso,Dijkstra,500,0.20,8,840600,14678144
MA,esparso,Dijkstra,500,0.20,8,2204800,6182040
LA,esparso,Bellman-Ford,500,0.20,8,59865200,14678144
MA,esparso,Bellman-Ford,500,0.20,8,41596200,6182040
LA,esparso,Dijkstra,500,0.20,9,808900,14678144
MA,esparso,Dijkstra,500,0.20,9,1922400,6182040
LA,esparso,Bellman-Ford,500,0.20,9,68729600,14678144
MA,esparso,Bellman-Ford,500,0.20,9,45949200,6182040
LA,esparso,Dijkstra,500,0.20,10,904800,14678144
MA,esparso,Dijkstra,500,0.20,10,2277800,6182040
LA,esparso,Bellman-Ford,500,0.20,10,64123000,14678144
MA,esparso,Bellman-Ford,500,0.20,10,41851100,6182040
LA,esparso,Dijkstra,500,0.40,1,2237700,22132936
MA,esparso,Dijkstra,500,0.40,1,4512100,3637824
LA,esparso,Bellman-Ford,500,0.40,1,211463200,22132936
MA,esparso,Bellman-Ford,500,0.40,1,94435600,3637824
LA,esparso,Dijkstra,500,0.40,2,1768700,22132936
MA,esparso,Dijkstra,500,0.40,2,6406500,3637824
LA,esparso,Bellman-Ford,500,0.40,2,211488200,22132936
MA,esparso,Bellman-Ford,500,0.40,2,233780600,3637824
LA,esparso,Dijkstra,500,0.40,3,2715700,22132936
MA,esparso,Dijkstra,500,0.40,3,6302300,3637824
LA,esparso,Bellman-Ford,500,0.40,3,208947200,22132936
MA,esparso,Bellman-Ford,500,0.40,3,87595200,3637824
LA,esparso,Dijkstra,500,0.40,4,1637500,22132936
MA,esparso,Dijkstra,500,0.40,4,3979000,3637824
LA,esparso,Bellman-Ford,500,0.40,4,154289100,22132936
MA,esparso,Bellman-Ford,500,0.40,4,111808100,3637824
LA,esparso,Dijkstra,500,0.40,5,2236300,22132936
MA,esparso,Dijkstra,500,0.40,5,4272400,3637824
LA,esparso,Bellman-Ford,500,0.40,5,177559100,22132936
MA,esparso,Bellman-Ford,500,0.40,5,84937000,3637824
LA,esparso,Dijkstra,500,0.40,6,3070100,22132936
MA,esparso,Dijkstra,500,0.40,6,4474000,3637824
LA,esparso,Bellman-Ford,500,0.40,6,169246700,22132936
MA,esparso,Bellman-Ford,500,0.40,6,91650700,3637824
LA,esparso,Dijkstra,500,0.40,7,1486700,22132936
MA,esparso,Dijkstra,500,0.40,7,2851400,3637824
LA,esparso,Bellman-Ford,500,0.40,7,123948400,22132936
MA,esparso,Bellman-Ford,500,0.40,7,76638200,3637824
LA,esparso,Dijkstra,500,0.40,8,3489400,22132936
MA,esparso,Dijkstra,500,0.40,8,4415800,3637824
LA,esparso,Bellman-Ford,500,0.40,8,181355600,22132936
MA,esparso,Bellman-Ford,500,0.40,8,96330300,3637824
LA,esparso,Dijkstra,500,0.40,9,1470600,22132936
MA,esparso,Dijkstra,500,0.40,9,3767100,3637824
LA,esparso,Bellman-Ford,500,0.40,9,160699400,22132936
MA,esparso,Bellman-Ford,500,0.40,9,73492500,3637824
LA,esparso,Dijkstra,500,0.40,10,1437700,22132936
MA,esparso,Dijkstra,500,0.40,10,2575200,3637824
LA,esparso,Bellman-Ford,500,0.40,10,147877500,22132936
MA,esparso,Bellman-Ford,500,0.40,10,91606400,3637824
